#,word,score,origin,syllables,best_synonym,best_synonym_score,synonym_wins,synonym_improvement,pos,articulations,three_plus_syllables,stress_on_first,uses_m,uses_l,uses_good_consonants,no_weak_consonants,three_manners_of_articulation,short_vowels_only,front_vowels_first,low_vowels_first
990,thought,20,Middle English,1,sentiment,80,TRUE,60,NN,NON_SIBILANT_FRICATIVE|STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
1008,growth,20,English,1,increment,80,TRUE,60,NN,NON_SIBILANT_FRICATIVE|APPROXIMANT|STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1015,copy,20,French,2,simulate,80,TRUE,60,NN,STOP,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1141,move,10,Middle English,1,motility,70,TRUE,60,NN,NON_SIBILANT_FRICATIVE|NASAL,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1355,perfect,10,Middle English,2,consummate,70,TRUE,60,NN,NON_SIBILANT_FRICATIVE|STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1553,pool,10,Middle English,1,syndicate,70,TRUE,60,NN,LATERAL_APPROXIMANT|STOP,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1656,variety,20,French,4,miscellany,80,TRUE,60,NN,NON_SIBILANT_FRICATIVE|STOP,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1886,ball,20,Middle English,1,testicle,80,TRUE,60,NN,LATERAL_APPROXIMANT|STOP,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1966,shot,20,Old English,1,slam,80,TRUE,60,NN,SIBILANT_FRICATIVE|STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
2224,abuse,20,Middle English,2,maltreatment,80,TRUE,60,NN,SIBILANT_FRICATIVE|APPROXIMANT|STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
2262,sorry,30,Middle English,2,meritless,90,TRUE,60,NN,SIBILANT_FRICATIVE|APPROXIMANT,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
2539,blow,20,Middle English,2,mishandle,80,TRUE,60,NN,LATERAL_APPROXIMANT|STOP,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2566,judge,20,Old French,1,estimate,80,TRUE,60,NN,SIBILANT_AFFRICATE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
2760,cape,20,Middle French,1,mantle,80,TRUE,60,NN,STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
2865,achieve,0,Anglo-Norman,2,accomplish,60,TRUE,60,NN,NON_SIBILANT_FRICATIVE|SIBILANT_AFFRICATE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3260,bond,20,Middle English,1,trammel,80,TRUE,60,NN,NASAL|STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
3402,bound,20,Middle English,1,trammel,80,TRUE,60,NN,NASAL|STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
3422,bowl,10,Middle English,1,stadium,70,TRUE,60,NN,LATERAL_APPROXIMANT|STOP,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4052,bone,10,Middle English,1,cram,70,TRUE,60,NN,NASAL|STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4133,disaster,30,Middle French,3,cataclysm,90,TRUE,60,NN,SIBILANT_FRICATIVE|STOP,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
4280,joy,0,Middle English,1,gladden,60,TRUE,60,NN,SIBILANT_AFFRICATE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4408,desert,20,French,2,desolate,80,TRUE,60,NN,SIBILANT_FRICATIVE|STOP,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4618,beast,20,Old French,1,animal,80,TRUE,60,NN,SIBILANT_FRICATIVE|STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
5099,pot,20,Middle English,1,muckle,80,TRUE,60,NN,STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5153,egg,20,Middle English,1,testicle,80,TRUE,60,NN,STOP,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
5252,soap,10,Middle English,1,max,70,TRUE,60,NN,SIBILANT_FRICATIVE|STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5542,spoke,10,Old English,1,rundle,70,TRUE,60,NN,SIBILANT_FRICATIVE|STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5684,discharge,20,Anglo-Norman,2,dismissal,80,TRUE,60,NN,SIBILANT_FRICATIVE|SIBILANT_AFFRICATE|APPROXIMANT|STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
5689,acute,10,Latin,2,needlelike,70,TRUE,60,NN,APPROXIMANT|STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5857,tune,20,Middle English,1,melody,80,TRUE,60,NN,NASAL|STOP,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
6316,depot,20,French,2,terminal,80,TRUE,60,NN,STOP,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7720,hammer,20,Middle English,2,mallet,80,TRUE,60,NN,NASAL,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8202,fighter,20,English,2,paladin,80,TRUE,60,NN,NON_SIBILANT_FRICATIVE|STOP,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8957,merge,10,Latin,1,commingle,70,TRUE,60,NN,SIBILANT_AFFRICATE|NASAL,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9757,goat,10,Middle English,1,laughingstock,70,TRUE,60,NN,STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
37,page,10,Old French,1,foliate,60,TRUE,50,NN,SIBILANT_AFFRICATE|STOP,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
60,use,10,Middle English,1,consumption,60,TRUE,50,NN,SIBILANT_FRICATIVE|APPROXIMANT,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
72,web,20,Old English,1,entanglement,70,TRUE,50,NN,STOP|APPROXIMANT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
103,top,20,Old English,1,pinnacle,70,TRUE,50,NN,STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
124,work,10,Old English,1,cultivate,60,TRUE,50,NN,STOP|APPROXIMANT,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
170,review,10,Middle French,2,retrospect,60,TRUE,50,NN,NON_SIBILANT_FRICATIVE|APPROXIMANT,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
296,house,20,Middle English,1,family,70,TRUE,50,NN,SIBILANT_FRICATIVE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
306,power,10,Middle English,2,index,60,TRUE,50,NN,STOP,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
437,point,10,Middle English,1,orient,60,TRUE,50,NN,NASAL|STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
459,note,20,Middle English,1,eminence,70,TRUE,50,NN,NASAL|STOP,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
460,live,20,Middle English,1,last,70,TRUE,50,JJ,NON_SIBILANT_FRICATIVE|LATERAL_APPROXIMANT,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
492,la,30,Old English,1,lanthanum,80,TRUE,50,NN,LATERAL_APPROXIMANT,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
499,going,10,English,2,sledding,60,TRUE,50,VBG,NASAL|STOP,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
595,hard,20,Old English,1,difficult,70,TRUE,50,JJ,STOP|APPROXIMANT,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
598,pay,10,Middle English,1,salary,60,TRUE,50,NN,STOP,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
616,offer,10,English,2,pass,60,TRUE,50,NN,NON_SIBILANT_FRICATIVE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
617,blue,10,Middle English,1,dismal,60,TRUE,50,NN,LATERAL_APPROXIMANT|STOP,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
620,easy,20,Middle English,2,comfortable,70,TRUE,50,JJ,SIBILANT_FRICATIVE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
809,word,10,Middle English,1,formulate,60,TRUE,50,NN,STOP|APPROXIMANT,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
845,cover,20,Middle English,2,concealment,70,TRUE,50,NN,NON_SIBILANT_FRICATIVE|STOP,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
856,global,20,English,2,spherical,70,TRUE,50,JJ,LATERAL_APPROXIMANT|STOP,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
872,feel,20,Middle English,1,smell,70,TRUE,50,NN,NON_SIBILANT_FRICATIVE|LATERAL_APPROXIMANT,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
886,weight,20,Old English,1,slant,70,TRUE,50,NN,STOP|APPROXIMANT,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
888,heart,20,Middle English,1,middle,70,TRUE,50,NN,STOP|APPROXIMANT,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
891,choose,0,Middle English,1,select,50,TRUE,50,NN,SIBILANT_FRICATIVE|SIBILANT_AFFRICATE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
940,whole,10,Middle English,1,solid,60,TRUE,50,JJ,LATERAL_APPROXIMANT,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
987,base,20,Old French,1,pedestal,70,TRUE,50,NN,SIBILANT_FRICATIVE|STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
1085,hope,0,Middle English,1,trust,50,TRUE,50,NN,STOP,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1177,choice,10,Middle English,1,selection,60,TRUE,50,NN,SIBILANT_FRICATIVE|SIBILANT_AFFRICATE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1222,cause,20,Middle English,1,stimulate,70,TRUE,50,NN,SIBILANT_FRICATIVE|STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
1231,fall,20,Middle English,1,tumble,70,TRUE,50,NN,NON_SIBILANT_FRICATIVE|LATERAL_APPROXIMANT,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1245,reason,30,Anglo-Norman,2,intellect,80,TRUE,50,NN,SIBILANT_FRICATIVE|NASAL|APPROXIMANT,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1246,tool,30,Middle English,1,instrument,80,TRUE,50,NN,LATERAL_APPROXIMANT|STOP,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1366,award,20,Middle English,2,accolade,70,TRUE,50,NN,STOP|APPROXIMANT,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
1400,horse,20,Middle English,1,cavalry,70,TRUE,50,NN,SIBILANT_FRICATIVE|APPROXIMANT,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
1437,input,30,Middle English,2,stimulant,80,TRUE,50,NN,NASAL|STOP,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
1452,charge,20,Middle English,1,saddle,70,TRUE,50,NN,SIBILANT_AFFRICATE|APPROXIMANT,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
1461,entire,20,Middle English,2,integral,70,TRUE,50,JJ,NASAL|STOP,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1517,grade,20,French,1,class,70,TRUE,50,NN,APPROXIMANT|STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
1538,require,10,Old French,2,postulate,60,TRUE,50,NN,STOP|APPROXIMANT,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1649,enjoy,10,Old French,2,relish,60,TRUE,50,NN,SIBILANT_AFFRICATE|NASAL,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1733,agree,10,Old French,2,harmonize,60,TRUE,50,NN,APPROXIMANT|STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1756,zone,10,Latin,1,district,60,TRUE,50,NN,SIBILANT_FRICATIVE|NASAL,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1846,correct,20,Latin,2,discipline,70,TRUE,50,NN,STOP,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1851,piece,20,Middle English,1,man,70,TRUE,50,NN,SIBILANT_FRICATIVE|STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
1905,highly,20,Middle English,2,extremely,70,TRUE,50,RB,LATERAL_APPROXIMANT,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1916,palm,20,Middle English,1,medal,70,TRUE,50,NN,NASAL|STOP,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1932,village,40,French,2,settlement,90,TRUE,50,NN,NON_SIBILANT_FRICATIVE|SIBILANT_AFFRICATE|LATERAL_APPROXIMANT,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
1979,waste,30,Middle English,1,desolate,80,TRUE,50,NN,SIBILANT_FRICATIVE|STOP|APPROXIMANT,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2039,component,40,Latin,3,element,90,TRUE,50,NN,NASAL|STOP,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
2144,heavy,20,Middle English,2,impenetrable,70,TRUE,50,JJ,NON_SIBILANT_FRICATIVE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2214,avoid,10,Middle English,2,annul,60,TRUE,50,NN,NON_SIBILANT_FRICATIVE|STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2232,define,20,Middle English,2,limit,70,TRUE,50,NN,NON_SIBILANT_FRICATIVE|NASAL|STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
2447,void,10,Old French,1,nothingness,60,TRUE,50,NN,NON_SIBILANT_FRICATIVE|STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2706,bird,10,Middle English,1,shuttle,60,TRUE,50,NN,STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2772,guess,30,Middle English,1,estimate,80,TRUE,50,NN,SIBILANT_FRICATIVE|STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
2841,appeal,10,Old French,2,collection,60,TRUE,50,NN,LATERAL_APPROXIMANT|STOP,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3008,evil,20,Old English,2,immorality,70,TRUE,50,NN,NON_SIBILANT_FRICATIVE|LATERAL_APPROXIMANT,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3011,shape,10,Middle English,1,regulate,60,TRUE,50,NN,SIBILANT_FRICATIVE|STOP,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
3125,coach,10,Middle French,1,omnibus,60,TRUE,50,NN,SIBILANT_AFFRICATE|STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
3154,bike,20,English,1,motorcycle,70,TRUE,50,NN,STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
3232,wave,10,Middle English,1,undulate,60,TRUE,50,NN,NON_SIBILANT_FRICATIVE|APPROXIMANT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
3283,debate,10,Old French,2,argument,60,TRUE,50,NN,STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
3515,broad,20,Middle English,1,unsubtle,70,TRUE,50,JJ,APPROXIMANT|STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
3550,raise,20,Middle English,1,elicit,70,TRUE,50,NN,SIBILANT_FRICATIVE|APPROXIMANT,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
3815,deposit,30,Latin,3,sediment,80,TRUE,50,NN,SIBILANT_FRICATIVE|STOP,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
3861,strip,40,Middle English,1,dismantle,90,TRUE,50,NN,SIBILANT_FRICATIVE|APPROXIMANT|STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
4042,grace,30,Middle English,1,ornament,80,TRUE,50,NN,SIBILANT_FRICATIVE|APPROXIMANT|STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
4081,tone,20,Middle English,1,smell,70,TRUE,50,NN,NASAL|STOP,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
4339,prove,20,Middle English,1,demonstrate,70,TRUE,50,NN,NON_SIBILANT_FRICATIVE|APPROXIMANT|STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
4403,throw,10,Middle English,1,bedevil,60,TRUE,50,NN,NON_SIBILANT_FRICATIVE|APPROXIMANT,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4561,digest,20,Middle English,2,stomach,70,TRUE,50,NN,SIBILANT_FRICATIVE|SIBILANT_AFFRICATE|STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
4773,wake,20,Old English,1,aftermath,70,TRUE,50,NN,STOP|APPROXIMANT,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
4818,ease,10,Middle English,1,informality,60,TRUE,50,NN,SIBILANT_FRICATIVE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
4914,burn,10,Middle English,1,suntan,60,TRUE,50,NN,NASAL|STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4975,sight,30,Old English,1,muckle,80,TRUE,50,NN,SIBILANT_FRICATIVE|STOP,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
5004,worry,10,Old English,2,trouble,60,TRUE,50,NN,APPROXIMANT,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5322,wage,10,Middle English,1,salary,60,TRUE,50,NN,SIBILANT_AFFRICATE|APPROXIMANT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
5454,favor,10,Anglo-Norman,2,privilege,60,TRUE,50,NN,NON_SIBILANT_FRICATIVE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5612,hook,20,Middle English,1,solicit,70,TRUE,50,NN,STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
5908,fisher,10,English,2,fisherman,60,TRUE,50,NN,SIBILANT_FRICATIVE|NON_SIBILANT_FRICATIVE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6267,pitch,20,Old English,1,slant,70,TRUE,50,NN,SIBILANT_AFFRICATE|STOP,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
6302,burden,20,Old English,2,saddle,70,TRUE,50,NN,NASAL|STOP,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6334,bow,10,Old English,1,stem,60,TRUE,50,NN,STOP,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
6465,divine,20,Middle French,2,cleric,70,TRUE,50,NN,NON_SIBILANT_FRICATIVE|NASAL|STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
6847,suffer,20,Middle English,2,stomach,70,TRUE,50,NN,SIBILANT_FRICATIVE|NON_SIBILANT_FRICATIVE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
